,longitude,latitude,elevation
518,134.142603,-25.34585,278.28
519,134.143603,-25.34785,285.6
520,134.145103,-25.34995,278.89
521,134.146443,-25.35195,278.28
522,134.147773,-25.35405,277.67
523,134.149273,-25.35605,277.67
524,134.150773,-25.35805,277.37
525,134.153273,-25.36015,277.67
526,134.155603,-25.36215,277.37
527,134.158443,-25.364249,277.06
528,134.160473,-25.366249,277.06
529,135.35796,-25.150209,174.14
530,135.35296,-25.141869,180.27
531,135.35129,-25.126869,185.72
532,135.356289,-25.098538,191.8
533,135.361289,-25.078538,191.71
534,135.362959,-25.068538,199.58
535,135.364629,-25.056868,201.69
536,135.376289,-25.050208,194.61
537,135.386289,-25.058538,186.28
538,135.394629,-25.070208,183.53
539,135.402959,-25.081868,183.2
540,135.407959,-25.095208,182.86
541,135.426289,-25.118538,183.72
542,135.439629,-25.126868,184.98
543,135.451289,-25.130208,179.56
544,135.466289,-25.133538,177.41
545,135.479628,-25.120207,174.82
546,135.494628,-25.116867,173.94
547,135.512958,-25.115207,172.07
548,135.526288,-25.116867,169.54
549,135.541288,-25.120207,168.84
550,135.571288,-25.131867,173.51
551,135.582958,-25.141867,165.52
552,135.421289,-25.100208,185.17
553,135.424628,-25.085208,192.32
554,135.429628,-25.071868,191.37
555,135.432958,-25.060208,190.89
556,135.436288,-25.051868,199.05
557,135.446288,-25.048538,208.13
558,135.474628,-25.050207,187.07
559,135.489627,-25.051867,181.01
560,135.504627,-25.056867,182.18
561,135.517957,-25.065207,175.44
562,135.531287,-25.073537,173.29
563,135.546287,-25.078537,171.21
564,135.559627,-25.086867,171.32
565,135.567957,-25.100207,181.02
566,135.572957,-25.111867,177.66
567,135.581287,-25.123537,174.62
568,135.587957,-25.133537,166.71
569,135.426287,-24.961868,181.42
570,135.431287,-24.976868,184.26
571,135.437957,-24.986868,185.74
572,135.446287,-25.000207,193.53
573,135.456288,-25.025207,194.67
574,135.521288,-25.131867,174.4
575,135.519628,-25.143537,182.67
576,135.519628,-25.156867,185.07
577,135.517958,-25.171867,181.11
578,135.512959,-25.186867,178.36
579,135.507959,-25.200207,174.99
580,135.507959,-25.210207,169.9
581,135.604627,-25.143536,166.43
582,135.616287,-25.125206,165.28
583,135.627957,-25.113536,164.12
584,135.652956,-25.095206,165.98
585,135.659626,-25.086866,167.15
586,135.656286,-25.075206,169.94
587,135.439628,-25.008538,196.51
588,135.424628,-25.006868,187.89
589,135.411288,-25.003538,184.66
590,135.394628,-25.005208,183.05
